time,current
0.04,1.004
10.04,1
20.04,1
30.04,1
40.04,1
50.04,1
60.04,1
70.04,1
80.04,1
90.04,1
100.04,1
110.04,0.999
120.04,1
130.04,1
140.04,1
150.04,1
160.04,1
170.04,1
180.04,1
190.04,1
200.04,1
210.04,1
220.04,1
230.04,1.001
240.04,1
250.04,1
260.04,1
270.04,0.999
280.04,1
290.04,1
300.04,1
310.04,1.001
320.04,1
330.04,1
340.04,0.999
350.04,1
360.04,1
370.04,1
380.04,1
390.04,0.999
400.04,1
410.04,0.999
420.04,1
430.04,1
440.04,1
450.04,1
460.04,1
470.04,1
480.04,1
490.04,1
500.04,1
510.04,1
520.04,1
530.04,1
540.04,1
550.04,1
560.04,1
570.04,0.999
580.04,1
590.04,1
600.04,1
610.04,0.999
620.04,1.001
630.04,0.999
640.04,1
650.04,1
660.04,1
670.04,1
680.04,1
690.04,1
700.04,1
710.04,1
720.04,0.999
730.04,1
740.04,1
750.04,1
760.04,1
770.04,1
780.04,1
790.04,0.999
800.04,1.001
810.04,1
820.04,1
830.04,1
840.04,1
850.04,1.001
860.04,1
870.04,1
880.04,0.999
890.04,0.999
900.04,1
910.04,1
920.04,1
930.04,0.999
940.04,1
950.04,1
960.04,1
970.04,1
980.04,1
990.04,1
1000,1
1010,1
1020,1
1030,1
1040,0.999
1050,1
1060,1
1070,1
1080,0.999
1090,1
1100,0.999
1110,1
1120,1
1130,1
1140,0.999
1150,1
1160,1
1170,1.001
1180,1
1190,1.001
1200,1
1210,1
1220,1
1230,1.001
1240,1
1250,1.001
1260,1
1270,1
1280,1
1290,1
1300,1
1310,1
1320,1
1330,0.999
1340,1
1350,1
1360,1
1370,1
1380,1
1390,1
1400,1
1410,1
1420,1
1430,1
1440,1
1450,1
1460,1
1470,1
1480,1
1490,1
1500,1
1510,0.999
1520,1
1530,1
1540,1
1550,1
1560,1
1570,1.001
1580,0.999
1590,0.999
1600,1
1610,1
1620,1.001
1630,1
1640,1
1650,0.999
1660,1
1670,1
1680,1
1690,0.999
1700,1
1710,1
1720,1
1730,1
1740,1
1750,1
1760,1
1770,1
1780,1
1790,1
1800,1
1810,1
1820,0.999
1830,0.999
1840,1
1850,1
1860,1.001
1870,1
1880,1
1890,1
1900,1
1910,1
1920,1
1930,1
1940,1
1950,1
1960,1
1970,1
1980,1
1990,1
2000,1
2010,1
2020,1
2030,1
2040,1
2050,1
2060,1
2070,0.999
2080,0.999
2090,1
2100,1
2110,1
2120,1
2130,1
2140,1
2150,1
2160,1
2170,1.001
2180,1
2190,1
2200,1
2210,1
2220,1
2230,1
2240,1
2250,1
2260,0.999
2270,1
2280,1
2290,0.999
2300,1
2310,1
2320,1
